,,,,,,,,,,
,Slideshow,Slide 1 (Hook),Slide 2 (Trust me...),Slide 3,Slide 4,Slide 5 (+ Kokoro),Slide 6,Slide 7,Description,Song
,11. Overthinking,5 signs you're stuck in overthinking,"Trust me, I know.",You replay conversations that ended days ago.,"You think of the ""perfect"" response long after it's too late.",A simple nightly brain dump helped me quiet the noise. (I use the Kokoro app.),Your brain stays busy even when your body is exhausted.,You don't need more answers. You need more peace.,Overthinking steals more than your time 🤍 I use the Kokoro app to help me quiet my mind before bed. #overthinking #mentalhealth #mindfulness #anxiety,EX7STENCE
,12. Survival mode,5 signs you're living in survival mode,"Trust me, I know.",Rest makes you feel guilty instead of relaxed.,Every notification feels like an emergency.,Daily emotional check-ins helped me realize how long I'd been stuck. (I use the Kokoro app.),You can't remember the last time you genuinely felt calm.,Surviving isn't the same as living.,Survival mode isn't meant to be permanent 🤍 I use the Kokoro app to help me slow down and breathe. #burnout #stress #mentalhealth #wellness,Phantom – ESD
,13. Emotional numbness,This could be why nothing feels exciting anymore,"Trust me, I know.",It's not that you've stopped caring. You're emotionally drained.,Even your favorite things feel like obligations.,Naming what I felt each day slowly brought me back to myself. (I use the Kokoro app.),Numbness is often your mind protecting itself.,You can't feel joy if you're stuck in survival mode.,Feeling numb doesn't mean you don't care 🤍 I use the Kokoro app to help me reconnect with my emotions. #mentalhealth #burnout #healing #selfcare,Lost the Spark
,14. Therapist advice,The therapist advice I didn't want to hear... but needed,"Trust me, I know.",Stop trying to control every thought.,You don't have to earn your right to rest.,Spending two minutes checking in with myself changed more than I expected. (I use the Kokoro app.),"Healing starts with awareness, not perfection.",The hardest advice is often the one that changes you most.,Sometimes the hardest advice is exactly what we need 🤍 I use the Kokoro app to help me practice it every day. #therapy #mentalhealth #healing #mindfulness,Agreement Song
,15. Meditation,I used to think meditation wasn't for me,"Trust me, I know.","I thought my mind was ""too busy.""",Then I realized that's exactly why I needed it.,I committed to just two minutes a day. (I use the Kokoro app.),"Small, consistent moments changed everything.",You don't have to be calm to begin.,Meditation became easier once I stopped chasing perfection 🤍 I use the Kokoro app to help me stay consistent. #meditation #mindfulness #wellness #focus,Cool for the Summer (Slowed)
,16. Always tired,"If you're always tired, read this","Trust me, I know.",More sleep didn't fix how I felt.,My brain never got a chance to recover.,A simple evening reflection became my reset button. (I use the Kokoro app.),Stress can drain you as much as lack of sleep.,Being tired isn't always about sleep.,"If this feels familiar, you're definitely not alone 🤍 I use the Kokoro app to help me check in with myself daily. #burnout #mentalhealth #stress #wellness",Dracula (JENNIE Remix)
,17. Burnout recovery,How I slowly recovered from burnout,"Trust me, I know.",I stopped measuring my worth by my productivity.,I learned that resting isn't falling behind.,One small daily habit helped me stay consistent. (I use the Kokoro app.),Recovery happened so slowly I almost missed it.,Healing is quiet before it's obvious.,Recovery happens one small habit at a time 🤍 I use the Kokoro app to help me stay on track. #burnout #healing #mentalhealth #wellness,Babydoll – Ari Abdul
,18. Rest,Everyone tells you to rest... but nobody explains this,"Trust me, I know.",Your body can be lying in bed while your mind keeps working.,That's why sleeping doesn't always feel refreshing.,Checking in with my emotions became part of winding down. (I use the Kokoro app.),Real rest begins when your mind feels safe too.,Rest isn't just sleep. It's feeling at peace.,Rest is more than just getting enough sleep 🤍 I use the Kokoro app to help me relax my mind too. #selfcare #burnout #mentalhealth #mindfulness,Daisies – Justin Bieber
,19. Brain fog,5 signs your brain is overwhelmed,"Trust me, I know.",You forget what you were about to do.,You reread the same sentence three times.,Tracking how I felt helped me spot patterns I never noticed before. (I use the Kokoro app.),Simple decisions suddenly feel impossible.,Brain fog isn't laziness. It's a signal.,Your brain is trying to tell you something 🤍 I use the Kokoro app to help me notice those signals. #mentalhealth #brainfog #burnout #wellness,Chanel (Slowed)
,20. High-functioning stress,You can look completely fine... and still be burning out,"Trust me, I know.",Everyone praises how much you're getting done.,Nobody sees how exhausted you feel inside.,Paying attention to my emotions changed the way I treated myself. (I use the Kokoro app.),High-functioning stress is still stress.,Don't wait until your body forces you to slow down.,Looking okay doesn't always mean feeling okay 🤍 I use the Kokoro app to help me check in with myself honestly. #mentalhealth #burnout #anxiety #wellness,Self Aware
,21. People-pleasing,5 signs you're a people pleaser (and it's exhausting you),"Trust me, I know.","You say ""yes"" even when every part of you wants to say ""no.""",You worry more about disappointing others than disappointing yourself.,Taking two minutes to ask myself what I needed changed everything. (I use the Kokoro app.),You spend so much energy keeping everyone else happy that nothing is left for you.,Being kind to yourself isn't selfish.,People pleasing is exhausting in ways you don't notice 🤍 I use the Kokoro app to help me put myself first sometimes. #peoplepleasing #mentalhealth #selfcare #healing,EX7STENCE
,22. Perfectionism,Things I wish I knew before perfectionism burned me out,"Trust me, I know.",Perfection wasn't making me better—it was keeping me stuck.,"I kept waiting until everything felt ""ready.""",Celebrating small wins became part of my daily routine. (I use the Kokoro app.),"Progress comes from showing up, not getting everything right.",Done is almost always better than perfect.,Progress beats perfection every single time 🤍 I use the Kokoro app to help me focus on consistency instead. #perfectionism #mentalhealth #mindfulness #wellness,Phantom – ESD
,23. Productivity anxiety,5 signs your anxiety is pretending to be productivity,"Trust me, I know.",You always need to feel busy to feel valuable.,Relaxing makes you feel guilty instead of peaceful.,Reflecting for a few minutes each evening helped me separate pressure from purpose. (I use the Kokoro app.),Being constantly busy doesn't mean you're moving forward.,Your worth isn't measured by your to-do list.,Anxiety often disguises itself as productivity 🤍 I use the Kokoro app to help me slow down and reflect. #anxiety #burnout #mentalhealth #focus,Lost the Spark
,24. Nervous system,Nobody tells you this about your nervous system,"Trust me, I know.","I couldn't understand why I still felt exhausted on ""easy"" days.",Then I learned my nervous system was still stuck in survival mode.,A short evening reset helped me feel safe again. (I use the Kokoro app.),Calm isn't something you find. It's something you practice.,Your nervous system deserves rest too.,Your nervous system deserves kindness too 🤍 I use the Kokoro app to help me feel calmer every day. #nervoussystem #mentalhealth #wellness #mindfulness,Agreement Song
,25. Doomscrolling,5 signs doomscrolling is changing your brain,"Trust me, I know.",You unlock your phone without even realizing it.,You finish scrolling feeling more anxious than before.,Replacing five minutes of scrolling with a mental check-in made a huge difference. (I use the Kokoro app.),Your attention is being trained every single day.,Protect your mind like you protect your body.,Protect your attention. Protect your peace 🤍 I use the Kokoro app to help me spend less time scrolling. #doomscrolling #mentalhealth #mindfulness #focus,Cool for the Summer (Slowed)
,26. Emotional awareness,The emotional skill I wish I'd learned years earlier,"Trust me, I know.","When someone asks how you feel, ""I don't know"" becomes your default answer.","You call every emotion ""stress"" because it's easier.",Naming one emotion every evening slowly changed the way I understood myself. (I use the Kokoro app.),You can't care for emotions you never recognize.,Awareness always comes before healing.,Emotional awareness changes everything 🤍 I use the Kokoro app to help me build that habit. #selfawareness #mentalhealth #healing #wellness,Dracula (JENNIE Remix)
,27. Healing,Everyone tells you healing takes time... but nobody tells you this,"Trust me, I know.",Healing often feels like nothing is changing.,Then one day you realize you're reacting differently than before.,Looking back at my daily reflections reminded me how far I'd actually come. (I use the Kokoro app.),Growth is easiest to see in hindsight.,Keep going. Your future self will thank you.,Healing feels slow until you look back 🤍 I use the Kokoro app to help me see my progress. #healing #mentalhealth #mindfulness #wellness,Babydoll – Ari Abdul
,28. Brain reset,5 things I do when my brain feels overwhelmed,"Trust me, I know.",I stop trying to solve every problem immediately.,I step away from my phone—even if it's only for a few minutes.,I spend two quiet minutes checking in with myself. (I use the Kokoro app.),I remind myself that not everything is urgent.,Small resets stop big breakdowns.,Tiny resets can prevent big breakdowns 🤍 I use the Kokoro app to help me reset every evening. #mentalhealth #stress #mindfulness #wellness,Daisies – Justin Bieber
,29. Self-worth,The biggest lie I believed about self-worth,"Trust me, I know.",I thought I had to earn rest.,I believed being productive made me more valuable.,Daily journaling helped me notice those beliefs for what they were. (I use the Kokoro app.),Your value doesn't change because you had a bad day.,You are enough before you achieve anything.,Your worth has never depended on your productivity 🤍 I use the Kokoro app to help me remember that. #selfworth #mentalhealth #selfcare #healing,Chanel (Slowed)
,30. Happiness,5 signs you're chasing happiness the wrong way,"Trust me, I know.","You keep telling yourself, ""I'll be happy when...""",Every goal just gets replaced by another one.,Spending a few minutes appreciating how I actually felt changed my perspective. (I use the Kokoro app.),Happiness isn't waiting at the finish line.,Don't miss today's life chasing tomorrow's.,Happiness isn't waiting at the finish line 🤍 I use the Kokoro app to help me enjoy the present. #happiness #mentalhealth #wellness #mindfulness,Self Aware
,31. Overthinking,5 steps to stop overthinking everything,"Trust me, I know.",Stop trying to solve every future problem today.,"Ask yourself: ""Can I control this right now?""",A 2-minute evening brain dump became my reset. (I use the Kokoro app.),Most thoughts don't need solutions. They need space.,Peace begins when you stop arguing with every thought.,Peace starts with one small step 🤍 I use the Kokoro app to help me take that first step. #overthinking #mentalhealth #mindfulness #focus,EX7STENCE
,32. Nervous system,I wish someone had explained my nervous system like this,"Trust me, I know.",Imagine your brain has an alarm system.,Stress keeps pressing the alarm—even when you're safe.,Daily guided check-ins helped me turn the volume down. (I use the Kokoro app.),Your body isn't broken. It's trying to protect you.,Safety is something your brain can relearn.,Understanding your mind changes everything 🤍 I use the Kokoro app to help me understand myself better. #nervoussystem #mentalhealth #wellness #healing,Phantom – ESD
,33. Rest,"Everyone tells you to ""take a break""... but no one tells you this","Trust me, I know.",Rest isn't just lying in bed.,"If your mind keeps racing, you're not really resting.",I finally created a bedtime routine that calmed my mind too. (I use the Kokoro app.),Your brain deserves recovery just as much as your body.,Real rest feels like peace—not just sleep.,Real rest begins when your mind feels safe 🤍 I use the Kokoro app to help me wind down each night. #rest #mentalhealth #mindfulness #wellness,Lost the Spark
,34. Anxiety,This can be why your anxiety never seems to disappear,"Trust me, I know.",You're trying to silence every anxious thought.,Fighting your thoughts often gives them more power.,Learning to notice my emotions changed everything. (I use the Kokoro app.),Acceptance is different from giving up.,You don't have to win every battle in your mind.,You don't have to fight every thought 🤍 I use the Kokoro app to help me let them pass. #anxiety #mindfulness #mentalhealth #healing,Agreement Song
,35. Burnout,People are beginning to realize burnout isn't just about work,"Trust me, I know.",Constant emotional pressure is exhausting too.,Even happy moments become harder to enjoy.,Emotional check-ins helped me notice what was draining me. (I use the Kokoro app.),Burnout affects your whole life—not just your job.,Recovery starts when you stop pretending you're fine.,Burnout is about more than work 🤍 I use the Kokoro app to help me take care of my mental health. #burnout #mentalhealth #stress #wellness,Cool for the Summer (Slowed)
,36. Therapist,The weirdest trick my therapist taught me,"Trust me, I know.","Instead of asking ""What's wrong with me?""...","Ask ""What happened to me today?""",That one question became part of my evening routine. (I use the Kokoro app.),Curiosity is kinder than self-judgment.,The questions you ask yourself matter.,Sometimes one question changes everything 🤍 I use the Kokoro app to help me ask it every day. #therapy #mentalhealth #selfawareness #healing,Dracula (JENNIE Remix)
,37. Healing,How to get your life back after burnout,"Trust me, I know.",Don't try to fix everything this week.,Start with one tiny habit you can actually keep.,Mine was checking in with myself every evening. (I use the Kokoro app.),Small habits rebuild broken routines.,Healing happens one ordinary day at a time.,Healing starts with one habit you can actually keep 🤍 I use the Kokoro app to help me stay consistent. #burnout #healing #mentalhealth #wellness,Babydoll – Ari Abdul
,38. Self-compassion,Things I wish I knew before I started healing,"Trust me, I know.",Some days you'll feel like you're making no progress.,That's completely normal.,Looking back at my daily reflections reminded me I'd come further than I thought. (I use the Kokoro app.),Growth is usually invisible while it's happening.,Be patient with the version of you that's still healing.,Growth is usually invisible while it's happening 🤍 I use the Kokoro app to help me see the little wins. #healing #mentalhealth #mindfulness #wellness,Daisies – Justin Bieber
,39. Brain fog,A Harvard psychologist explained why my brain felt broken,"Trust me, I know.",Your brain isn't designed for constant stimulation.,It needs quiet moments to recover and process.,Giving myself two quiet minutes each evening made a bigger difference than I expected. (I use the Kokoro app.),Focus grows when your mind gets space to breathe.,Your brain isn't lazy. It's overloaded.,Your brain isn't broken. It's overloaded 🤍 I use the Kokoro app to help me slow down. #focus #mentalhealth #stress #wellness,Chanel (Slowed)
,40. Happiness,How to get back to feeling like yourself again,"Trust me, I know.",Stop chasing the version of yourself from before burnout.,Focus on becoming someone even stronger.,A few minutes of reflection every day helped me reconnect with myself. (I use the Kokoro app.),Healing isn't about going backward.,It's about moving forward with more compassion than before.,You can always find your way back to yourself 🤍 I use the Kokoro app to help me reconnect. #healing #mentalhealth #selfcare #wellness,Self Aware
,41. Emotional intelligence,5 emotional skills I had to learn the hard way,"Trust me, I know.",Knowing what you feel is a skill—not a personality trait.,Ignoring emotions doesn't make them disappear.,I began spending two minutes identifying how I actually felt. (I use the Kokoro app.),Self-awareness makes every other habit easier.,"The better you understand yourself, the easier life becomes.",Self-awareness is a skill anyone can build 🤍 I use the Kokoro app to help me practice it daily. #selfawareness #mentalhealth #mindfulness #wellness,EX7STENCE
,42. Inner critic,Nobody talks about how exhausting your inner critic can be,"Trust me, I know.",You criticize yourself for things you'd forgive in anyone else.,Every mistake feels bigger than it really is.,Writing down my thoughts helped me notice how harsh I was being. (I use the Kokoro app.),You don't have to believe every thought you have.,Speak to yourself like someone you love.,Be kinder to yourself today 🤍 I use the Kokoro app to help me build that habit. #selflove #mentalhealth #healing #wellness,Phantom – ESD
,43. Feeling behind,"If you feel like you're falling behind in life, read this","Trust me, I know.",Social media makes everyone else's timeline look perfect.,You're comparing your reality to someone's highlight reel.,Daily reflection helped me focus on my own progress instead. (I use the Kokoro app.),Life isn't a race with one finish line.,You're not behind. You're on your own timeline.,You're not behind. You're on your own path 🤍 I use the Kokoro app to help me focus on my own journey. #mentalhealth #selfgrowth #mindfulness #wellness,Lost the Spark
,44. Morning anxiety,This could be why you wake up anxious every morning,"Trust me, I know.",Your stress didn't disappear overnight.,Your brain wakes up carrying yesterday's emotions.,A short morning emotional check-in completely changed my mornings. (I use the Kokoro app.),How you start your day shapes everything that follows.,Don't let yesterday decide how today feels.,Mornings become easier when your mind feels lighter 🤍 I use the Kokoro app to help me start my day intentionally. #anxiety #mentalhealth #wellness #mindfulness,Agreement Song
,45. Overwhelm,5 things to do when everything feels overwhelming,"Trust me, I know.",Stop trying to solve all your problems today.,Pick one thing that's actually within your control.,Spend two quiet minutes checking in with yourself first. (I use the Kokoro app.),Clarity usually comes after you slow down.,One small step is enough for today.,One small step is enough today 🤍 I use the Kokoro app to help me slow down. #mentalhealth #selfcare #wellness #healing,Cool for the Summer (Slowed)
,46. Burnout,I finally understood what burnout was doing to me,"Trust me, I know.",Imagine your phone never got charged.,Eventually it would stop working—even if nothing was broken.,Your brain needs to recharge too. (I use the Kokoro app.),Rest isn't a reward. It's maintenance.,You can't keep giving from an empty battery.,Your brain needs recharging too 🤍 I use the Kokoro app to help me recharge mentally. #burnout #mentalhealth #wellness #selfcare,Dracula (JENNIE Remix)
,47. Therapy,The therapy lesson that completely changed my mindset,"Trust me, I know.",Healing isn't about never struggling again.,It's about recovering faster when life gets hard.,Reflecting every evening helped me notice my progress. (I use the Kokoro app.),Strength isn't avoiding hard days.,It's knowing you'll get through them.,Strength isn't never struggling—it's getting back up 🤍 I use the Kokoro app to help me keep going. #therapy #mentalhealth #healing #resilience,Babydoll – Ari Abdul
,48. Overstimulation,I didn't realize my brain was crying for help,"Trust me, I know.",Silence makes you reach for your phone.,You can't focus on one thing for more than a few minutes.,Replacing endless scrolling with a daily reset made a huge difference. (I use the Kokoro app.),Your brain needs boredom sometimes.,Constant stimulation steals your peace.,Your brain needs quiet more than constant stimulation 🤍 I use the Kokoro app to help me create that quiet. #focus #mentalhealth #mindfulness #wellness,Daisies – Justin Bieber
,49. Self-care,Everyone talks about self-care... but almost everyone gets it wrong,"Trust me, I know.",Self-care isn't buying more things.,Sometimes it's setting boundaries or going to bed earlier.,Emotional check-ins became my favorite form of self-care. (I use the Kokoro app.),Self-care should leave you feeling lighter—not guilty.,The best self-care is the one you actually practice.,Self-care should actually make you feel better 🤍 I use the Kokoro app to help me take care of myself every day. #selfcare #mentalhealth #wellness #mindfulness,Chanel (Slowed)
,50. Happiness,People are beginning to realize happiness isn't a destination,"Trust me, I know.",You don't suddenly become happy after one promotion or vacation.,Life keeps moving the goalposts.,Looking back at how I felt each day helped me appreciate the present. (I use the Kokoro app.),Joy grows in ordinary moments.,Don't spend your whole life waiting to finally live.,Joy grows in ordinary moments 🤍 I use the Kokoro app to help me notice them. #happiness #mentalhealth #mindfulness #wellness,Self Aware
,51. High-functioning anxiety,5 signs you have high-functioning anxiety,"Trust me, I know.",Everyone thinks you're doing great.,"Inside, you feel like you're one bad day away from falling apart.",A daily emotional check-in helped me notice what I was hiding from myself. (I use the Kokoro app.),Looking okay doesn't mean feeling okay.,You deserve support before you reach your breaking point.,High-functioning anxiety is still anxiety 🤍 I use the Kokoro app to help me slow down and reflect. #anxiety #mentalhealth #burnout #wellness,EX7STENCE
,52. Stress,The biggest mistake almost everyone makes when they're stressed,"Trust me, I know.",We try to ignore it and hope it goes away.,Stress that's ignored usually gets louder.,Spending two minutes with my thoughts worked better than running from them. (I use the Kokoro app.),Your emotions always find a way to be heard.,Listen before they start shouting.,Listen to your emotions before they start shouting 🤍 I use the Kokoro app to help me hear them sooner. #stress #mentalhealth #healing #mindfulness,Phantom – ESD
,53. Healing,5 things nobody tells you about healing,"Trust me, I know.",Some days you'll feel like you've made no progress.,Old habits will occasionally come back.,Looking back at my daily reflections reminded me I'd still grown. (I use the Kokoro app.),Healing isn't about never struggling again.,It's about getting back up a little faster each time.,Healing isn't about never struggling again 🤍 I use the Kokoro app to help me stay consistent through it all. #healing #mentalhealth #wellness #mindfulness,Lost the Spark
,54. Boundaries,Things I wish I knew before I learned to set boundaries,"Trust me, I know.",Not everyone will like the new version of you.,That's okay. Boundaries aren't rejection.,I started asking myself what I actually needed before saying yes. (I use the Kokoro app.),"Every ""no"" to others can become a ""yes"" to yourself.",Protecting your peace isn't selfish.,Boundaries protect your peace 🤍 I use the Kokoro app to help me check in with my needs. #boundaries #mentalhealth #selfcare #wellness,Agreement Song
,55. Brain,How to stop your brain from racing at night,"Trust me, I know.",Don't try to force yourself to stop thinking.,Give those thoughts somewhere to go instead.,A 2-minute evening reflection became part of my bedtime routine. (I use the Kokoro app.),Your brain relaxes when it knows it won't forget.,Sleep starts with a calmer mind.,A calmer mind creates better sleep 🤍 I use the Kokoro app to help me unwind before bed. #sleep #mentalhealth #mindfulness #wellness,Cool for the Summer (Slowed)
,56. Burnout,This can be why weekends never feel long enough,"Trust me, I know.",You're spending them recovering instead of living.,Two days can't undo five days of constant stress.,I began taking care of my mental health every day—not just on weekends. (I use the Kokoro app.),Recovery works better when it's consistent.,Don't save your well-being for Saturday.,Your weekends shouldn't be spent recovering from your weekdays 🤍 I use the Kokoro app to help me take care of myself every day. #burnout #wellness #mentalhealth #selfcare,Dracula (JENNIE Remix)
,57. Emotional regulation,My psychologist explained why I couldn't control my emotions,"Trust me, I know.",You can't control your first emotion.,You can choose what you do with it next.,Learning to pause before reacting changed my relationships. (I use the Kokoro app.),Responding beats reacting every time.,Emotional strength is built one moment at a time.,Emotional strength is something you build 🤍 I use the Kokoro app to help me build it one day at a time. #emotions #mentalhealth #mindfulness #healing,Babydoll – Ari Abdul
,58. Burnout,Everyone tells you burnout comes from working too much... but that's not always true,"Trust me, I know.",Sometimes it's carrying stress that never gets processed.,Sometimes it's constantly putting yourself last.,My daily emotional check-ins helped me notice what was really draining me. (I use the Kokoro app.),Burnout has more than one cause.,Healing starts when you understand yours.,Burnout has more than one cause 🤍 I use the Kokoro app to help me understand what's draining me. #burnout #mentalhealth #stress #wellness,Daisies – Justin Bieber
,59. Emotional habits,5 habits that quietly improve your mental health,"Trust me, I know.",Putting your phone down for ten minutes.,Going outside without headphones.,Spending two minutes reflecting on your emotions. (I use the Kokoro app.),Speaking to yourself with more kindness.,Tiny habits shape your mind more than you think.,Tiny habits shape your mind every day 🤍 I use the Kokoro app to help me build healthier ones. #mentalhealth #habits #wellness #mindfulness,Chanel (Slowed)
,60. Self-discovery,People are beginning to realize that self-awareness changes everything,"Trust me, I know.",You can't change patterns you don't notice.,Most of us spend more time understanding other people than ourselves.,Daily reflection became the habit that connected everything else. (I use the Kokoro app.),Self-awareness is the foundation of every lasting change.,The relationship you have with yourself shapes every other relationship.,The relationship you have with yourself changes everything 🤍 I use the Kokoro app to help me strengthen it every day. #selfawareness #mentalhealth #healing #wellness,Self Aware
,,,,,,,,,,
,Slide 1 prompt,Slide 2 prompt,Slide 5 prompt,Account name,Bio,,,,,
,,,I'll upload multiple reference photos of the same person.,alice_kokoro or alice_kokoroapp,"Daily mental wellness & meditation tips 🌿
Find ""Kokoro"" app on the App Store ✨",,,,,
,I'll upload multiple reference photos of the same person.,I'll upload multiple reference photos of the same person.,,,,,,,,
,,,"For each reference photo, generate 6 new photos of the exact same person in the same room, as if they were taken during the same photoshoot, just a few minutes apart.",,,,,,,
,"For each reference photo, generate 6 new photos that looks like it was taken of the same person during the same period of their life.","For each reference photo, generate 6 new photos of the exact same person in the same room, as if they were taken during the same photoshoot, just a few minutes apart.",,,,,,,,
,,,Keep unchanged,,,,,,,
,Keep unchanged,Keep unchanged,Face and facial features (do not alter identity),,,,,,,
,Face and facial features (do not alter identity),Face and facial features (do not alter identity),"Hair color, haircut, and texture",,,,,,,
,"Hair color, haircut, and texture (unless I explicitly ask otherwise)","Hair color, haircut, and texture",Skin tone,,,,,,,
,Skin tone,Skin tone,Age and body proportions,,,,,,,
,Body proportions,Age and body proportions,Facial expression and overall emotional vibe,,,,,,,
,Overall facial expression and emotional vibe,Facial expression and overall emotional vibe,The room and its layout,,,,,,,
,Age and appearance,The room and its layout,"Furniture, décor, and background elements",,,,,,,
,The person's recognizable identity,Furniture and background elements,"Lighting, shadows, color grading, and atmosphere",,,,,,,
,Change,"Lighting, shadows, color grading, and atmosphere",Time of day,,,,,,,
,Location/background (or keep a similar setting if requested),Time of day,"Camera quality, lens characteristics, and realism",,,,,,,
,Pose,Camera quality and realism,Change,,,,,,,
,Camera angle,Change,Pose (every image should have a completely different but natural pose),,,,,,,
,Composition,Pose (every image should have a different natural pose),Camera angle and framing,,,,,,,
,Outfit,Camera angle and framing,Body position,,,,,,,
,Small accessories if appropriate,Body position,Hand placement,,,,,,,
,Minor details that naturally vary between photos,Hand placement,Outfit (different clothing that matches the same aesthetic),,,,,,,
,Style requirements,Outfit (different clothing that fits the same aesthetic),Small accessories if appropriate,,,,,,,
,Ultra-realistic photograph,Small accessories if appropriate,"Facial gaze (looking at the camera, away, down, etc.)",,,,,,,
,High-end editorial/lifestyle photography,Minor natural variations that would occur during a real photoshoot,Minor natural variations that would occur during a real photoshoot,,,,,,,
,Natural lighting,Requirements,Requirements,,,,,,,
,Authentic skin texture,The 6 generated photos must all be different from one another.,Generate 6 unique photos for each reference image.,,,,,,,
,No beauty filters,"Each image should feel like the next shot taken by the photographer, not a copy of the previous one.",Every generated photo must be noticeably different from the others.,,,,,,,
,No AI-looking artifacts,Do not repeat poses or camera angles.,"Each image should feel like the next shot taken by the photographer, not a recreation of the previous one.",,,,,,,
,High-resolution,"Keep the room identical, but vary where the person sits, stands, leans, or looks naturally within it.","Do not repeat poses, camera angles, framing, or clothing.",,,,,,,
,Shallow depth of field,Preserve the same emotional atmosphere.,"Keep the room identical while naturally changing where the person sits, stands, lies down, leans, or interacts with the environment.",,,,,,,
,Vertical 9:16 unless specified otherwise,Style,Preserve the same emotional atmosphere and visual style.,,,,,,,
,Very important,Ultra-realistic photograph,Style,,,,,,,
